Latin America & Caribbean,LCN,"Population, total",645295804
Least developed countries: UN classification,LDC,"Population, total",1048193552
Low income,LIC,"Population, total",648755452
Liechtenstein,LIE,"Population, total",38482
Sri Lanka,LKA,"Population, total",21803000
Lower middle income,LMC,"Population, total",3075311775
Low & middle income,LMY,"Population, total",6476995208
Lesotho,LSO,"Population, total",2225702
Late-demographic dividend,LTE,"Population, total",2309491804
Lithuania,LTU,"Population, total",2794137
Luxembourg,LUX,"Population, total",620001
Latvia,LVA,"Population, total",1913822
"Macao SAR, China",MAC,"Population, total",663653
St. Martin (French part),MAF,"Population, total",33121
Morocco,MAR,"Population, total",36304408
Monaco,MCO,"Population, total",37034
Moldova,MDA,"Population, total",2664224
Madagascar,MDG,"Population, total",27533134
Maldives,MDV,"Population, total",504508
Middle East & North Africa,MEA,"Population, total",473201775
Mexico,MEX,"Population, total",125085311
Marshall Islands,MHL,"Population, total",44728
Middle income,MIC,"Population, total",5828239756
North Macedonia,MKD,"Population, total",2076694
Mali,MLI,"Population, total",20567424
Malta,MLT,"Population, total",504062
Myanmar,MMR,"Population, total",53040212
Middle East & North Africa (excluding high income),MNA,"Population, total",405259403
Montenegro,MNE,"Population, total",622028
Mongolia,MNG,"Population, total",3232430
Northern Mariana Islands,MNP,"Population, total",49858
Mozambique,MOZ,"Population, total",30285595
Mauritania,MRT,"Population, total",4383849
Mauritius,MUS,"Population, total",1265985
Malawi,MWI,"Population, total",18867337
Malaysia,MYS,"Population, total",32804020
North America,NAC,"Population, total",365995094
Namibia,NAM,"Population, total",2446644
New Caledonia,NCL,"Population, total",271240
Niger,NER,"Population, total",23443393
Nigeria,NGA,"Population, total",203304492
Nicaragua,NIC,"Population, total",6663924
Netherlands,NLD,"Population, total",17344874
Norway,NOR,"Population, total",5347896
Nepal,NPL,"Population, total",28832496
Nauru,NRU,"Population, total",12132
New Zealand,NZL,"Population, total",4979200
OECD members,OED,"Population, total",1362922537
Oman,OMN,"Population, total",4602768
Other small states,OSS,"Population, total",32005477
Pakistan,PAK,"Population, total",223293280
Panama,PAN,"Population, total",4232532
Peru,PER,"Population, total",32824861
Philippines,PHL,"Population, total",110380804
Palau,PLW,"Population, total",17916
Papua New Guinea,PNG,"Population, total",9542486
Poland,POL,"Population, total",37965475
Pre-demographic dividend,PRE,"Population, total",957503246
Puerto Rico,PRI,"Population, total",3193694
"Korea, Dem. People's Rep.",PRK,"Population, total",25755441
Portugal,PRT,"Population, total",10286263
Paraguay,PRY,"Population, total",6530026
West Bank and Gaza,PSE,"Population, total",4685306
Pacific island small states,PSS,"Population, total",2536070
Post-demographic dividend,PST,"Population, total",1113310738
French Polynesia,PYF,"Population, total",299717
Qatar,QAT,"Population, total",2807235
Romania,ROU,"Population, total",19371648
Russian Federation,RUS,"Population, total",144406261
Rwanda,RWA,"Population, total",12835028
South Asia,SAS,"Population, total",1861598514
Saudi Arabia,SAU,"Population, total",35827362
Sudan,SDN,"Population, total",43232093
Senegal,SEN,"Population, total",16000781
Singapore,SGP,"Population, total",5703569
Solomon Islands,SLB,"Population, total",674993
Sierra Leone,SLE,"Population, total",8046828
El Salvador,SLV,"Population, total",6280217
San Marino,SMR,"Population, total",34178
Somalia,SOM,"Population, total",15981300
Serbia,SRB,"Population, total",6945235
Sub-Saharan Africa (excluding high income),SSA,"Population, total",1121451424
South Sudan,SSD,"Population, total",10447666
Sub-Saharan Africa,SSF,"Population, total",1121549049
Small states,SST,"Population, total",41965649
Sao Tome and Principe,STP,"Population, total",214599
Suriname,SUR,"Population, total",600301
Slovak Republic,SVK,"Population, total",5454147
Slovenia,SVN,"Population, total",2088385
Sweden,SWE,"Population, total",10278887
Eswatini,SWZ,"Population, total",1169613
Sint Maarten (Dutch part),SXM,"Population, total",41608
Seychelles,SYC,"Population, total",97625
Syrian Arab Republic,SYR,"Population, total",20098251
Turks and Caicos Islands,TCA,"Population, total",43080
Chad,TCD,"Population, total",16126866
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",2080648616
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",460994696
Togo,TGO,"Population, total",8243094
Thailand,THA,"Population, total",71307763
Tajikistan,TJK,"Population, total",9337003
